Trainer_PK,Horse_PK,Horse_Name,Horse_BY,Trainer_Num,Trainer_Name,Trainer_Div
70114,33142,파티파워,2013,15,박희철,서울 경마장
70179,36488,샴로커,2013,40,송문길,서울 경마장
70114,38052,서울탱크,2014,15,박희철,서울 경마장
70244,39982,슈퍼삭스,2015,34,리카디,서울 경마장
70225,37040,마스크,2015,21,문병기,서울 경마장
70148,39791,문학치프,2015,10,정호익,서울 경마장
70115,39891,짱콩,2015,54,박천서,서울 경마장
70181,39909,모르피스,2015,42,이관호,서울 경마장
70096,37212,제주의흑선,2015,12,서범석,서울 경마장
70148,37703,강토마,2015,10,정호익,서울 경마장
70198,37599,제왕의별,2015,35,임채덕,서울 경마장
70149,40017,위너골드,2015,5,우창구,서울 경마장
70182,38463,위너이즈웰,2016,25,전승규,서울 경마장
70170,38628,흑전사,2016,52,김동균,서울 경마장
70146,41662,센스쟁이,2016,22,안병기,서울 경마장
70163,38539,만석지기,2016,27,박병일,서울 경마장
70181,38457,금아애크미,2016,42,이관호,서울 경마장
70110,38756,논스톱위닝,2016,23,유재길,서울 경마장
70148,41689,다크플레이어,2016,10,정호익,서울 경마장
70152,41598,왕벚꽃,2016,16,최봉주,서울 경마장
70166,38511,심장의고동,2016,37,심승태,서울 경마장
70225,41733,조우니가,2016,21,문병기,서울 경마장
70149,38851,금로열,2016,5,우창구,서울 경마장
70144,38894,원더풀루비,2016,29,배휴준,서울 경마장
70182,38599,허쉬대보,2016,25,전승규,서울 경마장
70103,38640,위너브라운,2016,32,김윤섭,서울 경마장
70244,38781,최강파티,2016,34,리카디,서울 경마장
70244,41600,갤럽컬린,2016,34,리카디,서울 경마장
70175,41659,우리,2016,31,강환민,서울 경마장
70181,38949,레이먼드,2016,42,이관호,서울 경마장
70096,39005,스트롱벌처,2016,12,서범석,서울 경마장
70152,39308,제주의요정,2016,16,최봉주,서울 경마장
70199,38680,메니스피드,2016,11,조현수,서울 경마장
70152,41667,돌격앞으로,2016,16,최봉주,서울 경마장
70148,41745,글로벌캡틴,2016,10,정호익,서울 경마장
70149,39263,원더케이,2016,5,우창구,서울 경마장
70144,41723,싱싱메리,2016,29,배휴준,서울 경마장
70167,41796,더스파이커,2016,14,이신영,서울 경마장
70265,41653,액티몬,2016,30,토니,서울 경마장
70163,39463,대마지풍,2016,27,박병일,서울 경마장
70145,39498,정문사이,2016,6,홍대유,서울 경마장
70161,39554,피렌체힐,2016,41,신삼영,서울 경마장
70265,39094,님의향기,2016,30,토니,서울 경마장
70091,39422,백색광채,2016,20,배대선,서울 경마장
70149,39577,사이먼퀸,2016,5,우창구,서울 경마장
70096,39565,일마레,2016,12,서범석,서울 경마장
70160,41754,아르폰스,2016,24,서홍수,서울 경마장
70096,43383,브리가디어제너럴,2016,12,서범석,서울 경마장
70182,40258,킹에이스,2017,25,전승규,서울 경마장
70085,40327,글로벌선,2017,28,최상식,서울 경마장
70168,43604,골든서비스,2017,8,최용구,서울 경마장
